attackerX,attackerY,victimSide,victimX,victimY
1093.07250976562,-1062.109375,T,-574.193176269531,-1717.45971679688
-1010.60974121094,-633.540466308594,T,-966.050476074219,-1031.69763183594
-1013.95880126953,-649.140869140625,T,-964.915771484375,-1038.06213378906
-1018.94305419922,-664.50244140625,T,-965.99462890625,-1043.21020507812
-1022.19543457031,-713.683837890625,T,-967.644897460938,-1059.12475585938
-1020.76867675781,-730.49755859375,T,-967.281677246094,-1063.3251953125
94.1804885864258,-1543.73608398438,T,-437.385406494141,-1580.62194824219
1067.81896972656,-1051.75634765625,T,-480.687133789062,-1718.68041992188
94.1661987304688,-1503.76708984375,T,-441.281585693359,-1563.20324707031
1066.70654296875,-1053.23864746094,T,-468.372344970703,-1694.31750488281
94.8977432250977,-1508.80151367188,T,-441.604797363281,-1559.83386230469
1066.70654296875,-1053.23864746094,T,-466.810760498047,-1687.169921875
96.1711654663086,-1518.97229003906,T,-441.454132080078,-1560.92175292969
1066.70654296875,-1053.23864746094,T,-463.762512207031,-1686.99133300781
98.589241027832,-1532.48168945312,T,-494.0615234375,-1474.58959960938
99.1916351318359,-1525.46325683594,T,-494.331085205078,-1477.38391113281
99.7510757446289,-1519.88061523438,T,-494.593780517578,-1480.31518554688
100.060592651367,-1516.55725097656,T,-494.730682373047,-1481.95983886719
-1042.53210449219,-780.749816894531,T,-1008.8251953125,-530.215759277344
-1047.96875,-777.140869140625,T,-998.252868652344,-531.170471191406
-1047.99658203125,-777.107849121094,T,-994.8310546875,-531.574584960938
-976.977233886719,-844.775085449219,T,-986.090087890625,-533.018737792969
-976.440063476562,-844.768493652344,T,-983.43896484375,-532.9423828125
-972.206176757812,-844.521667480469,T,-980.579772949219,-532.854064941406
-972.7587890625,-844.556091308594,T,-979.64501953125,-532.823913574219
951.503601074219,195.243423461914,T,-853.956298828125,519.119689941406
623.928955078125,537.61181640625,T,-734.618774414062,462.859161376953
-50.7408638000488,670.075256347656,T,-585.901977539062,504.901672363281
-52.0525321960449,674.303344726562,T,-585.605163574219,502.74560546875
-52.3758087158203,675.344970703125,T,-585.517883300781,501.194641113281
-52.5129203796387,675.782104492188,T,-580.437927246094,489.808959960938
-51.5316390991211,657.457092285156,T,-869.244262695312,491.734344482422
-27.7153625488281,637.0029296875,T,-808.487426757812,548.45654296875
-28.4188804626465,638.784973144531,T,-808.010314941406,541.450317382812
900.273071289062,314.996124267578,T,-442.553100585938,-166.193450927734
919.755859375,246.026672363281,T,-451.966888427734,-117.222152709961
931.857238769531,196.954208374023,T,-445.915954589844,-86.0397109985352
931.857238769531,196.954208374023,T,-442.906585693359,-74.3386611938477
931.857238769531,196.954208374023,T,-441.611328125,-69.7348709106445
1135.607421875,400.247406005859,T,1392.84838867188,698.569519042969
1136.56640625,400.245300292969,T,1389.23168945312,701.457153320312
-734.254089355469,-317.536041259766,T,-749.612365722656,-345.386871337891
-744.848205566406,-313.909027099609,T,-747.889587402344,-340.198883056641
983.86181640625,-837.718017578125,T,-134.154037475586,-931.008728027344
983.86181640625,-837.718017578125,T,-134.154037475586,-931.008728027344
983.86181640625,-837.718017578125,T,-134.154037475586,-931.008728027344
983.86181640625,-837.718017578125,T,-136.475326538086,-902.101440429688
-67.8763809204102,-1189.96875,T,-380.371368408203,-1081.81665039062
983.86181640625,-837.718017578125,T,-464.349975585938,-960.844970703125
983.828491210938,-836.721862792969,T,-71.9402694702148,-836.028076171875
-171.6796875,-1189.80358886719,T,-492.994445800781,-1024.21020507812
-183.460357666016,-1177.10925292969,T,-490.437927246094,-1012.2978515625
-609.072509765625,-422.247863769531,T,-654.528991699219,-533.182739257812
-601.570495605469,-436.289245605469,T,-647.48779296875,-532.146179199219
-591.513366699219,-448.557556152344,T,-642.247131347656,-532.500671386719
-568.818786621094,-462.860443115234,T,-633.108520507812,-534.790893554688
585.170715332031,-974.901977539062,CT,-375.803070068359,-1078.58117675781
524.527160644531,67.7951736450195,T,576.481689453125,-415.40283203125
524.527160644531,67.7951736450195,T,579.218383789062,-432.401977539062
524.527160644531,67.7951736450195,T,581.955078125,-449.401123046875
524.527160644531,67.7951736450195,T,584.691772460938,-466.400268554688
524.527160644531,67.7951736450195,T,587.428466796875,-483.3994140625
524.527160644531,67.7951736450195,T,590.165161132812,-500.398559570312
595.018859863281,-1295.51403808594,T,1058.2431640625,-731.684753417969
918.9169921875,-294.011993408203,T,-392.67822265625,-41.2734413146973
948.62451171875,206.653701782227,T,-469.337036132812,-168.492050170898
948.62451171875,206.653701782227,T,-583.491943359375,575.621276855469
948.529846191406,207.011337280273,T,-468.848297119141,-161.74169921875
948.507385253906,207.0966796875,T,-598.344116210938,539.899963378906
948.507385253906,207.0966796875,T,-468.239440917969,-154.649139404297
948.507385253906,207.0966796875,T,-467.858459472656,-150.084747314453
1922.70593261719,462.415222167969,T,1307.24182128906,613.002319335938
1926.44873046875,479.330383300781,T,1309.66723632812,623.2197265625
1926.57177734375,479.892913818359,T,1310.6142578125,626.858459472656
812.464111328125,-74.5139465332031,T,1028.66906738281,574.257873535156
573.206298828125,-72.2409515380859,T,407.114807128906,323.347961425781
954.528503417969,76.6290969848633,T,450.699890136719,349.410705566406
954.528503417969,76.6290969848633,T,451.71240234375,351.263214111328
954.528503417969,76.6290969848633,T,451.797027587891,351.449798583984
954.528503417969,76.6290969848633,T,451.403930664062,350.780517578125
1181.16369628906,-132.732315063477,T,-37.9656982421875,-257.004577636719
936.149658203125,439.125701904297,T,-225.471405029297,-252.907897949219
936.149658203125,439.125701904297,T,-210.539245605469,-262.967987060547
936.149658203125,439.125701904297,T,-204.730117797852,-263.606048583984
936.149658203125,439.125701904297,T,-198.822448730469,-265.493133544922
936.149658203125,439.125701904297,T,-192.905776977539,-268.901306152344
446.681732177734,304.268493652344,T,-361.043273925781,-205.005844116211
948.842468261719,407.464782714844,T,-357.721405029297,-198.011627197266
949.972351074219,404.971038818359,T,-359.5205078125,-193.982131958008
949.972351074219,404.971038818359,T,-359.496032714844,-194.036544799805
539.663452148438,-58.3236236572266,T,810.575927734375,-232.893692016602
-203.020126342773,84.5037536621094,T,801.033630371094,133.146759033203
-226.51318359375,276.800567626953,T,56.2971076965332,523.008239746094
-214.391967773438,474.271118164062,T,-908.806274414062,596.655944824219
-214.391967773438,474.271118164062,T,-907.09130859375,604.233947753906
-214.391967773438,474.271118164062,T,-905.7001953125,610.854370117188
409.000305175781,282.740631103516,T,-942.776916503906,520.228942871094
640.469787597656,-112.841438293457,T,1812.81896972656,-6.54929161071777
1424.84204101562,400.963470458984,T,1426.28112792969,526.997985839844
1422.15014648438,402.131042480469,T,1422.07775878906,526.344055175781
1416.73706054688,402.213836669922,T,1398.12194824219,528.814086914062
1399.14465332031,400.097900390625,T,1385.24060058594,529.450012207031
1398.96374511719,400.047393798828,T,1379.07995605469,529.754150390625
-108.787750244141,420.202667236328,T,-400.571716308594,-235.021743774414
-108.787750244141,420.202667236328,T,-393.259307861328,-220.051391601562
2002.14697265625,-789.976623535156,T,1784.02990722656,120.874229431152
2002.14697265625,-789.976623535156,T,1784.02990722656,120.874229431152
2002.14697265625,-789.976623535156,CT,1823.62414550781,422.938323974609
416.058898925781,-981.096313476562,T,-1051.22326660156,-856.994934082031
416.058898925781,-981.096313476562,T,-916.03125,-959.871459960938
105.899124145508,-1749.00012207031,T,-234.461669921875,-1309.46325683594
104.570777893066,-1743.87121582031,T,-237.081588745117,-1358.5908203125
114.355926513672,-1724.25378417969,T,-266.930084228516,-1362.42211914062
118.39892578125,-1719.47729492188,T,-253.629959106445,-1340.10412597656
118.39892578125,-1719.47729492188,T,-258.758880615234,-1344.26708984375
1476.05102539062,-1782.4033203125,T,946.070251464844,-1432.48425292969
70.2144775390625,-1759.4970703125,T,-505.421081542969,-860.469116210938
70.2523651123047,-1759.73168945312,T,-502.284942626953,-860.834289550781
1470.18615722656,-1783.8603515625,T,953.046752929688,-1422.8994140625
1470.18615722656,-1783.8603515625,T,952.181701660156,-1424.10302734375
70.2523651123047,-1759.73168945312,T,-502.939605712891,-861.21728515625
1470.18615722656,-1783.8603515625,T,952.031799316406,-1424.31091308594
70.2523651123047,-1759.73168945312,T,-503.216613769531,-861.390441894531
1470.18615722656,-1783.8603515625,T,952.031799316406,-1424.31091308594
94.0021438598633,-1765.31188964844,T,-384.474212646484,-1014.39215087891
1446.72863769531,489.981506347656,T,1253.33422851562,1129.97021484375
1449.53564453125,491.439819335938,T,1255.4677734375,1129.76733398438
271.414215087891,-38.0636520385742,T,-529.123779296875,-425.983947753906
271.414215087891,-38.0636520385742,T,-500.424530029297,-349.09423828125
272.050537109375,-32.2170486450195,T,-518.283630371094,-349.954223632812
-218.348876953125,669.899475097656,T,-623.942504882812,484.966827392578
-218.348876953125,669.899475097656,T,-623.942504882812,484.966827392578
-218.348876953125,669.899475097656,T,-623.942504882812,484.966827392578
1859.48779296875,-241.81022644043,T,-413.488159179688,-206.811813354492
1858.22131347656,-262.171142578125,T,-441.640716552734,-145.444869995117
-140.778564453125,590.237365722656,T,-449.704650878906,625.809875488281
-140.778564453125,590.237365722656,T,-449.704650878906,625.809875488281
-140.778564453125,590.237365722656,T,-449.704650878906,625.809875488281
-140.778564453125,590.237365722656,T,-449.704650878906,625.809875488281
-140.778564453125,590.237365722656,T,-449.704650878906,625.809875488281
-140.778564453125,590.237365722656,T,-449.704650878906,625.809875488281
623.356384277344,-317.411071777344,T,-442.907531738281,-139.683639526367
1835.65246582031,496.867218017578,T,-442.033477783203,309.758605957031
1836.08337402344,496.814880371094,T,-428.014434814453,275.727752685547
